advertiser,brand,media_group,media,media_owner,dow,national_local,market,program,program_genre,daypart,property,flight_date,spend_usd,units
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Wednesday,NATIONAL,TOTAL_US,STADIUM LOCKUP,ENTERTAINMENT,Early News,A&E,2025-04-01,840.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,FIRST 48,ENTERTAINMENT,Early Fringe,A&E,2025-04-01,840.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,2025-04-01,2040.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Late Fringe,LIFE,2025-04-01,697.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Thursday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Overnight,LIFE,2025-04-01,1875.0,2.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early Fringe,A&E,2025-04-01,840.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Early News,A&E,2025-04-01,1679.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,LIVE PD: POLICE PATROL,ENTERTAINMENT,Prime Access,A&E,2025-04-01,1319.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Prime Time,LIFE,2025-04-01,1020.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Friday,NATIONAL,TOTAL_US,ROOKIE SHOW,ENTERTAINMENT,Late Fringe,LIFE,2025-04-01,697.0,1.0
Chomps,Chomps,Television,Cable TV,A&E TV Networks Inc,Sunday,NATIONAL,TOTAL_US,MURDER AT THE DERBY,ENTERTAINMENT,Prime Time,LIFE,2025-04-01,1147.0,1.0
